species;region;kraina_group;ni1;ni2;ni3;ni4
BK;GLOB;GLOB;1,12124;0,57154;-0,02178;-0,01753
BRZ;GLOB;GLOB;0,60263;0,74759;0,06363;0,07698
DB;GLOB;GLOB;0,76865;0,70679;0,05078;0,02380
JD;GLOB;GLOB;0,61968;0,69161;0,06214;0,07215
MD;GLOB;GLOB;0,79975;0,58088;0,03385;0,02933
OL;GLOB;GLOB;0,59097;0,80476;0,10789;0,04453
SO;GLOB;GLOB;0,78988;0,70282;0,03479;0,02843
ŚW;GLOB;GLOB;0,99528;0,77371;-0,01695;0,01193
BK;I;I;1,17634;0,60214;-0,02954;-0,02271
BK;II;II-IV;1,17549;0,60220;-0,02955;-0,02252
BK;III;II-IV;1,17549;0,60220;-0,02955;-0,02252
BK;IV;II-IV;1,17549;0,60220;-0,02955;-0,02252
BK;V;V-VII;1,17368;0,60182;-0,02936;-0,02234
BK;VI;V-VII;1,17368;0,60182;-0,02936;-0,02234
BK;VII;V-VII;1,17368;0,60182;-0,02936;-0,02234
BK;VIII;VIII;1,16708;0,60092;-0,02892;-0,02143
BRZ;I;I-II;0,59006;0,73826;0,06681;0,08005
BRZ;II;I-II;0,59006;0,73826;0,06681;0,08005
BRZ;III;III-IV;0,59263;0,74816;0,07013;0,07585
BRZ;IV;III-IV;0,59263;0,74816;0,07013;0,07585
BRZ;V;V-VIII;0,57941;0,73110;0,06499;0,08805
BRZ;VI;V-VIII;0,57941;0,73110;0,06499;0,08805
BRZ;VII;V-VIII;0,57941;0,73110;0,06499;0,08805
BRZ;VIII;V-VIII;0,57941;0,73110;0,06499;0,08805
OL;I;I;0,57988;0,80123;0,11145;0,04584
OL;II;II-VIII;0,57218;0,79937;0,11620;0,04436
OL;III;II-VIII;0,57218;0,79937;0,11620;0,04436
OL;IV;II-VIII;0,57218;0,79937;0,11620;0,04436
OL;V;II-VIII;0,57218;0,79937;0,11620;0,04436
OL;VI;II-VIII;0,57218;0,79937;0,11620;0,04436
OL;VII;II-VIII;0,57218;0,79937;0,11620;0,04436
OL;VIII;II-VIII;0,57218;0,79937;0,11620;0,04436
DB;I;I-IV;0,80487;0,71209;0,03804;0,02246
DB;II;I-IV;0,80487;0,71209;0,03804;0,02246
DB;III;I-IV;0,80487;0,71209;0,03804;0,02246
DB;IV;I-IV;0,80487;0,71209;0,03804;0,02246
DB;V;V-VIII;0,80464;0,71277;0,03825;0,02236
DB;VI;V-VIII;0,80464;0,71277;0,03825;0,02236
DB;VII;V-VIII;0,80464;0,71277;0,03825;0,02236
DB;VIII;V-VIII;0,80464;0,71277;0,03825;0,02236
SO;I;I;0,98430;0,72273;-0,01877;0,02058
SO;II;II;0,92946;0,76807;-0,00329;0,02265
SO;III;III;0,90023;0,72914;0,00647;0,02553
SO;IV;IV;1,06378;0,71608;-0,03063;0,02230
SO;V;V-VII;0,84784;0,69392;0,01124;0,03459
SO;VI;VI-VIII;0,89421;0,69340;-0,00143;0,02722
SO;VII;V-VII;0,84784;0,69392;0,01124;0,03459
SO;VIII;VI-VIII;0,89421;0,69340;-0,00143;0,02722
ŚW;I;I-II;0,98777;0,60504;-0,02388;0,02233
ŚW;II;I-II;0,98777;0,60504;-0,02388;0,02233
ŚW;III;III-VI;1,05515;0,84516;-0,02622;0,01985
ŚW;IV;III-VI;1,05515;0,84516;-0,02622;0,01985
ŚW;V;III-VI;1,05515;0,84516;-0,02622;0,01985
ŚW;VI;III-VI;1,05515;0,84516;-0,02622;0,01985
ŚW;VII;VII;1,02928;0,65946;-0,02431;0,02228
ŚW;VIII;VIII;1,06260;0,91570;-0,02671;0,01991
JD;I;I-VI;0,95419;0,64685;-0,01142;0,02588
JD;II;I-VI;0,95419;0,64685;-0,01142;0,02588
JD;III;I-VI;0,95419;0,64685;-0,01142;0,02588
JD;IV;I-VI;0,95419;0,64685;-0,01142;0,02588
JD;V;I-VI;0,95419;0,64685;-0,01142;0,02588
JD;VI;I-VI;0,95419;0,64685;-0,01142;0,02588
JD;VII;VII-VIII;0,95145;0,64725;-0,01109;0,02635
JD;VIII;VII-VIII;0,95145;0,64725;-0,01109;0,02635
MD;I;I-II;0,80194;0,57595;0,03117;0,03132
MD;II;I-II;0,80194;0,57595;0,03117;0,03132
MD;III;III-VI;0,80521;0,57553;0,03071;0,03065
MD;IV;III-VI;0,80521;0,57553;0,03071;0,03065
MD;V;III-VI;0,80521;0,57553;0,03071;0,03065
MD;VI;III-VI;0,80521;0,57553;0,03071;0,03065
MD;VII;VII-VIII;0,80350;0,57583;0,03099;0,03096
MD;VIII;VII-VIII;0,80350;0,57583;0,03099;0,03096
