gatunek;species_name;latin_name;english_name;BUL_SPECIES_NR;Grupa_gat;Nr_grupy_gat;grupa_wieku;code;col
SO.L;sosna limba;Pinus cembra;Arolla pine;7;SO;1;1;SO1;#DEB887
SO.L;sosna limba;Pinus cembra;Arolla pine;7;SO;1;2;SO2;#DC9F63
SO.L;sosna limba;Pinus cembra;Arolla pine;7;SO;1;3;SO3;#D68640
SO.L;sosna limba;Pinus cembra;Arolla pine;7;SO;1;4;SO4;#D68640
CZM;czeremcha pospolita;Prunus padus;Bird cherry;86;BRZ;60;1;BRZ1;#D2FEFB
CZM;czeremcha pospolita;Prunus padus;Bird cherry;86;BRZ;60;2;BRZ2;#86F3EF
CZM;czeremcha pospolita;Prunus padus;Bird cherry;86;BRZ;60;3;BRZ3;#40E6E7
CZM;czeremcha pospolita;Prunus padus;Bird cherry;86;BRZ;60;4;BRZ4;#40E6E7
BEZ.C;bez czarny;Sambucus nigra;Black elderberry;32;NA;NA;NA;NA;NA
AK;robinia akacjowa;Robinia pseudoacacia;Black locust;88;BRZ;60;1;BRZ1;#D2FEFB
AK;robinia akacjowa;Robinia pseudoacacia;Black locust;88;BRZ;60;2;BRZ2;#86F3EF
AK;robinia akacjowa;Robinia pseudoacacia;Black locust;88;BRZ;60;3;BRZ3;#40E6E7
AK;robinia akacjowa;Robinia pseudoacacia;Black locust;88;BRZ;60;4;BRZ4;#40E6E7
TP.C;topola czarna;Populus nigra;Black poplar;100;TP;90;1;TP1;#FFE1E1
TP.C;topola czarna;Populus nigra;Black poplar;100;TP;90;2;TP2;#FFB4B4
TP.C;topola czarna;Populus nigra;Black poplar;100;TP;90;3;TP3;#FFB4B4
TP.C;topola czarna;Populus nigra;Black poplar;100;TP;90;4;TP4;#FF8787
ŚL.T;śliwa tarnina;Prunus spinosa;Blackthorn;57;NA;NA;NA;NA;NA
ŚL.A;śliwa ałycza;Prunus cerasifera;Cherry plum;101;BRZ;60;1;BRZ1;#D2FEFB
ŚL.A;śliwa ałycza;Prunus cerasifera;Cherry plum;101;BRZ;60;2;BRZ2;#86F3EF
