"";"origin";"name";"value"
"1";"L";"site_type_cd";"BB"
"2";"L";"site_type_name";"Bór bagienny"
"3";"L";"site_type_nr";"14"
"4";"L";"site_type_cd";"BG"
"5";"L";"site_type_name";"Bór górski"
"6";"L";"site_type_nr";"17"
"7";"M";"site_type_cd";"BGW"
"8";"M";"site_type_name";"Bór górski wilgotny"
"9";"M";"site_type_nr";"72"
"10";"L";"site_type_cd";"BMB"
"11";"L";"site_type_name";"Bór mieszany bagienny"
"12";"L";"site_type_nr";"24"
"13";"L";"site_type_cd";"BMW"
"14";"L";"site_type_name";"Bór mieszany wilgotny"
"15";"L";"site_type_nr";"23"
"16";"L";"site_type_cd";"BMWYŻ"
"17";"L";"site_type_name";"Bór mieszany wyżynny"
"18";"L";"site_type_nr";"25"
"19";"L";"site_type_cd";"BMŚW"
"20";"L";"site_type_name";"Bór mieszany świeży"
"21";"L";"site_type_nr";"22"
"22";"L";"site_type_cd";"BS"
"23";"L";"site_type_name";"Bór suchy"
"24";"L";"site_type_nr";"11"
"25";"L";"site_type_cd";"BW"
"26";"L";"site_type_name";"Bór wilgotny"
"27";"L";"site_type_nr";"13"
"28";"M";"site_type_cd";"BWG"
"29";"M";"site_type_name";"Bór wysokogórski"
"30";"M";"site_type_nr";"18"
"31";"L";"site_type_cd";"BŚW"
"32";"L";"site_type_name";"Bór świeży"
"33";"L";"site_type_nr";"12"
"34";"L";"site_type_cd";"LG"
"35";"L";"site_type_name";"Las górski"
"36";"L";"site_type_nr";"50"
"37";"L";"site_type_cd";"LMB"
"38";"L";"site_type_name";"Las mieszany bagienny"
"39";"L";"site_type_nr";"34"
"40";"L";"site_type_cd";"LMG"
"41";"L";"site_type_name";"Las mieszany górski"
"42";"L";"site_type_nr";"38"
"43";"L";"site_type_cd";"LMW"
"44";"L";"site_type_name";"Las mieszany wilgotny"
"45";"L";"site_type_nr";"33"
"46";"L";"site_type_cd";"LMWYŻ"
"47";"L";"site_type_name";"Las mieszany wyżynny"
"48";"L";"site_type_nr";"35"
"49";"L";"site_type_cd";"LMŚW"
"50";"L";"site_type_name";"Las mieszany świeży"
"51";"L";"site_type_nr";"32"
"52";"L";"site_type_cd";"LW"
"53";"L";"site_type_name";"Las wilgotny"
