X;GAT;SPECIES_NUM;GAT_NAZWA;LATIN_NAME;SHRUBTREE_FL;BOT_SPECIES;BOT_GENUS;FOMATREE_GRP;ACT_TREE_GRP;BOT_NAME;WOOD_KIND_FL;TAX_TREE_GRP;BUL_SPECIES_NR;GRP_H;GRP_V;WORTH_GRP;AVG_CUT_AGE;AGE1;AGE2;NR_CYKLU;GRP_P_BDL;GRP_TH;GRP_P;GRP_V_TAB
1;ABI.AL.AU;40101;jodła pospolita;"Abies alba """"Aurea""""";D;jodła;"odm.""""Aurea""""";JD;JD;NA;I;NA;301;JD;JD;;NA;30;35;4;JD;JD;JD;JD
2;ABI.AL.FA;40102;jodła pospolita;"Abies alba """"Fastigiata""""";D;jodła;"odm.""""Fastigiata""""";JD;JD;NA;I;NA;302;JD;JD;;NA;30;35;4;JD;JD;JD;JD
3;ABI.AL.PE;40103;jodła pospolita;"Abies alba """"Pendula""""";D;jodła;"odm.""""Pendula""""";JD;JD;NA;I;NA;303;JD;JD;;NA;30;35;4;JD;JD;JD;JD
4;ABI.AL.PY;40104;jodła pospolita;"Abies alba """"Pyramidalis""""";D;jodła;"odm.""""Pyramidalis""""";JD;JD;NA;I;NA;304;JD;JD;;NA;30;35;4;JD;JD;JD;JD
5;ABI.FA;43400;jodła sp.;Abies fargessi;D;jodła;;JD;JD;NA;I;NA;305;JD;JD;;NA;30;35;4;JD;JD;JD;JD
6;ABI.PI;43500;jodła sp.;Abies pindrow;D;jodła;;JD;JD;NA;I;NA;306;JD;JD;;NA;30;35;4;JD;JD;JD;JD
7;ABI.SA.MA;42901;jodła sachalińska;Abies sachalinensis mayriana;D;jodła;odm.Mayra;JD;JD;NA;I;NA;307;JD;JD;;NA;30;35;4;JD;JD;JD;JD
8;ABI.SA.NE;42902;jodła sachalińska;Abies sachalinensis nemorensis;D;jodła;odm.leśna;JD;JD;NA;I;NA;308;JD;JD;;NA;30;35;4;JD;JD;JD;JD
9;ACE.NE.AU;320902;klon jesionolistny;Acer negundo Auratum;D;klon;"odm.""""Auratum""""";DB;BK;NA;L;NA;309;DB;DB;;NA;10;15;4;JW;DB;BK;BK
10;ACE.NE.AV;320904;klon jesionolistny;Acer negundo Aureovariegatum;D;klon;"odm.""""Aureovariegatum""""";DB;BK;NA;L;NA;310;DB;DB;;NA;10;15;4;JW;DB;BK;BK
11;ACE.NE.OD;320901;klon jesionolistny;Acer negundo Odessanum;D;klon;"odm.""""Odessanum""""";DB;BK;NA;L;NA;311;DB;DB;;NA;10;15;4;JW;DB;BK;BK
12;ACE.NE.VA;320903;klon jesionolistny;Acer negundo Variegatum;D;klon;"odm.""""Variegatum""""";DB;BK;NA;L;NA;312;DB;DB;;NA;10;15;4;JW;DB;BK;BK
13;ACE.PA.AT;321001;klon palmowy;Acer palmatum atropurpureum;D;klon;"odm.""""Atropurpureum""""";DB;BK;NA;L;NA;313;DB;DB;;NA;10;15;4;JW;DB;BK;BK
14;ACE.PL.CK;320107;klon pospolity;Acer platanoides;D;klon;odm. Crimson King;DB;BK;NA;L;NA;314;DB;DB;;NA;10;15;4;JW;DB;BK;BK
15;ACE.PL.DR;320104;klon pospolity;Acer platanoides Drummondii;D;klon;odm.Drummonda;DB;BK;NA;L;NA;315;DB;DB;;NA;10;15;4;JW;DB;BK;BK
16;ACE.PL.FB;320103;klon pospolity;Acer platanoides Faassen's Bl.;D;klon;"odm.""""Faassens Black""""";DB;BK;NA;L;NA;316;DB;DB;;NA;10;15;4;JW;DB;BK;BK
17;ACE.PL.GL;320105;klon pospolity;Acer platanoides Globosum;D;klon;"odm.""""Globosum""""";DB;BK;NA;L;NA;317;DB;DB;;NA;10;15;4;JW;DB;BK;BK
18;ACE.PL.LO;320106;klon pospolity;Acer platanoides Palmatifidum;D;klon;odm.Lorberga;DB;BK;NA;L;NA;318;DB;DB;;NA;10;15;4;JW;DB;BK;BK
19;ACE.PL.RE;320102;klon pospolity;Acer platanoides Reitenbacha;D;klon;odm.Reitenbacha;DB;BK;NA;L;NA;319;DB;DB;;NA;10;15;4;JW;DB;BK;BK
20;ACE.PL.SC;320101;klon pospolity;Acer platanoides Schwedleri;D;klon;odm.Schwedlera;DB;BK;NA;L;NA;320;DB;DB;;NA;10;15;4;JW;DB;BK;BK
21;ACE.PS.LE;320204;klon jawor;Acer pseudoplatanus Leopoldii;D;klon;"odm.""""Leopoldii""""";DB;BK;NA;L;NA;321;DB;DB;;NA;10;15;4;JW;DB;BK;BK
22;ACE.PS.PH;320203;klon jawor;Acer pseudoplatanus Pr.Handjer;D;klon;"odm.""""Prinz Handjery""""";DB;BK;NA;L;NA;322;DB;DB;;NA;10;15;4;JW;DB;BK;BK
23;ACE.PS.PU;320201;klon jawor;Acer pseudoplatanus Purpureum;D;klon;"odm.""""Purpureum""""";DB;BK;NA;L;NA;323;DB;DB;;NA;10;15;4;JW;DB;BK;BK
24;ACE.PS.SL;320205;klon jawor;Acer pseudoplatanus Sim.Lo.Fr.;D;klon;"odm.""""Simon Luis Freres""""";DB;BK;NA;L;NA;324;DB;DB;;NA;10;15;4;JW;DB;BK;BK
25;ACE.PS.WO;320202;klon jawor;Acer pseudoplatanus Worleei;D;klon;"odm.Worleei""""";DB;BK;NA;L;NA;325;DB;DB;;NA;10;15;4;JW;DB;BK;BK
26;ACE.SA.LU;320703;klon srebrzysty;Acer saccharinum Lutescens;D;klon;"odm.""""Lutescens""""";DB;BK;NA;L;NA;326;DB;DB;;NA;10;15;4;JW;DB;BK;BK
27;ACE.SA.PY;320702;klon srebrzysty;Acer saccharinum Pyramidale;D;klon;"odm.""""Pyramidale""""";DB;BK;NA;L;NA;327;DB;DB;;NA;10;15;4;JW;DB;BK;BK
28;ACE.SA.WI;320701;klon srebrzysty;Acer saccharinum Lacin.Wieri;D;klon;"odm.""""Wieri""""";DB;BK;NA;L;NA;328;DB;DB;;NA;10;15;4;JW;DB;BK;BK
29;AES.HI.BA;1100101;kasztanowiec biały;Aesculus hippocastanum Bauman.;D;kasztanowiec;"odm.""""Baumanni""""";OS;BRZ;NA;L;NA;329;BRZ;OS;;NA;10;15;4;OS;BRZ;BRZ;BRZ
30;AES.HI.PA;1100103;kasztanowiec biały;Aesculus hippocastanum Partyz.;D;kasztanowiec;"odm.""""Partyzant""""";OS;BRZ;NA;L;NA;330;BRZ;OS;;NA;10;15;4;OS;BRZ;BRZ;BRZ
31;AES.HI.PY;1100102;kasztanowiec biały;Aesculus hippocastanum Pyram.;D;kasztanowiec;"odm.""""Pyramidalis""""";OS;BRZ;NA;L;NA;331;BRZ;OS;;NA;10;15;4;OS;BRZ;BRZ;BRZ
32;AES.HI.UM;1100104;kasztanowiec biały;Aesculus hippocastanum Umbrac.;D;kasztanowiec;"odm.""""Umbraculifera""""";OS;BRZ;NA;L;NA;332;BRZ;OS;;NA;10;15;4;OS;BRZ;BRZ;BRZ
33;AGR;590100;agrest pospolity;Ribes grossularia;K;agrest;;;;NA;L;NA;333;;;;NA;NA;NA;4;;;;
34;AK;410100;robinia akacjowa;Robinia pseudoacacia;D;robinia;;BRZ;BRZ;NA;L;NA;88;BRZ;BRZ;OL;80;5;10;4;AK;AK;DB;DB
35;AKT.O;1160100;aktinidia ostrolistna;Actinidia arguta;K;aktinidia;;;;NA;L;NA;334;;;;NA;NA;NA;4;;;;
36;AKT.P;1160200;aktinidia pstrolistna;Actinidia kolomikta;K;aktinidia;;;;NA;L;NA;335;;;;NA;NA;NA;4;;;;
37;ALN.IN.LA;370201;olsza szara;"Alnus incana """"Laciniata""""";D;olsza;"odm.""""Laciniata""""";OL;OL;NA;L;NA;336;BK;OL;;NA;0;10;4;OL;BK;OL;OL
